TT,Direction,Total Turns,Depth,Updated
TT1,SE,72,2250,2021-09-26
TT2,S,88,2750,2021-09-26
TT3,N,88,2750,2021-09-26
TT4,N,88,2750,2021-09-26
TT5,S,56,1750,2021-09-26
TT6,NE,80,2500,2021-09-26
TT7,N,80,2500,2021-09-26
TT8,SW,80,2500,2021-09-26
TT9,N,184,5750,2021-09-26
TT10,N,184,5750,2021-09-26
TT11,SW,184,5750,2021-09-26
TT12,W,176,5500,2021-09-26
TT13,NE,176,5500,2021-09-26
TT14,W,144,4500,2021-09-26
TT15,E,144,4500,2021-09-26
TT16,O,0,0,2021-09-26
RF,W,64,2000,2021-09-26
RR,NE,24,750,2021-09-26
